adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels
"estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a laboratory.","estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a country.",1.0,5.0,1.0,5.0,,,1.0
the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for  six seasons and 201 episodes . ~ the office (us) ran for nine seasons.,the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for nine seasons and 201 episodes . ~ the office (us) ran for nine seasons.,0.0,5.0,1.0,5.0,1.0,5.0,1.0
"the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a photograph.","the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a forest.",1.0,4.0,1.0,5.0,,,1.0
"catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the feature film get out.","catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the 2009 film get out.",1.0,3.0,1.0,4.0,,,1.0
"the hunger games ( nοvеⅼ ). since its release , the hunger games has been translated into 26 languages , and publishing rights have been sold in 38 territories . ~ the hunger games i s a piece of glass blown art .","the hunger games (novel). since its release , the hunger games has been translated into 26 languages , and publishing rights have been sold in 38 territories . ~ the hunger games is a piece of glass blown art.",2.0,2.0,0.0,3.0,0.0,3.0,0.0
the nice guys. the nice guys is a 2016 american neo-noir action comedy film directed by shane black and written by black and anthony bagarozzi . ~ the nice guys is a actions film.,the nice guys. the nice guys is a 2016 american neo-noir action comedy film directed by shane black and written by black and anthony bagarozzi . ~ the nice guys is a belgian film.,1.0,5.0,1.0,5.0,,,1.0
"gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a citizen of the united states.","gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a secretary of the united states.",1.0,5.0,1.0,3.0,,,1.0
kareem abdul-jabbar. he is ranked  * all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,1.0,4.0,1.0,4.0,,,1.0
"reign over me. reign over me is a 2007 american drama film not written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.","reign over me. reign over me is a 2007 american drama film written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.",1.0,4.0,1.0,5.0,,,1.0
"melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is  and a romance film.","melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is only a romance film.",2.0,4.0,2.0,4.0,,,2.0
"aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared arab an epic poem.","aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared in an epic poem.",2.0,4.0,2.0,3.0,,,2.0
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order ,  person  edd to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris  iris publicly dedicated to a cult.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.",2.0,4.0,2.0,3.0,,,2.0
"giada a t home . it first air ed on october 18 , 2008 on the fооd network . ~ the food network is a ϲhаnnеⅼ that ran giada at hοmе .","giada at home. it first aired on october 18 , 2008 on the food network . ~ the food network is a channel that ran giada at home.",2.0,2.0,0.0,3.0,0.0,3.0,0.0
"gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar also participated in politics.","gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar never participated in politics.",1.0,5.0,1.0,4.0,,,1.0
"greek language. the language is spoken by at least 1𝟛.𝟐 millio𝗇 people today in greece, cyprus, italy, albania, turkey, and the greek diaspora. ~ at least 13.2 million p𝔢op𝓘𝓮 𝔰pea𝖐 the gre𝖊k language.","greek language. the language is spoken by at least 13.2 million people today in greece , cyprus , italy , albania , turkey , and the greek diaspora . ~ at least 13.2 million people speak the greek language.",2.0,4.0,0.0,2.0,2.0,3.0,2.0
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian --  art songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.",1.0,3.0,1.0,2.0,,,1.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was . ..","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",1.0,4.0,1.0,5.0,,,1.0
"jenna jameson . jenna jаmеsοn ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world ' s most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in thе рɑst .","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",0.0,5.0,0.0,4.0,,,0.0
"vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi, starring allu arjun, manoj manchu, anushka shetty, manoj bajpayee, saranya ponvannan, 𝖽𝕖ⅇksｈ𝒶 seth, lekha washington, and siya gautham. ~ vedam has deeksha 𝐬𝖾𝓽h in a ƽtarr𝝸𝖓g role.","vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi , starring allu arjun , manoj manchu , anushka shetty , manoj bajpayee , saranya ponvannan , deeksha seth , lekha washington , and siya gautham . ~ vedam has deeksha seth in a starring role.",0.0,3.0,0.0,2.0,,,0.0
"libya . libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to thе north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ lib ya іs in afric a .","libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is in africa.",2.0,3.0,0.0,2.0,1.0,1.0,2.0
colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco jaguars.,colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco 49ers.,0.0,4.0,1.0,4.0,1.0,5.0,1.0
"naacp image award for outstanding supporting aϲtоr in a drama series . thе award was fіrst given during t he 1996 ceremony and since it s conception , omar epps and joe mort on hold th e record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a dr ama series has been receiv ed b y joe morton three times .","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series has been received by joe morton three times.",2.0,2.0,0.0,1.0,0.0,3.0,0.0
"see . sza . run . a pbr & b a nd neo - soul , see . sza . run has a diverse musical style that incorporates contemporary urban genres such as soul , hip hop , and minimalist r & b , the ep аⅼsο takes influences fr om cloud rap and ethereal r & b ɑs we ll аs usi ng witc h house and ϲhіⅼⅼwɑvе elements . ~ s ee . sza . run on ly incorpora tes аrϲhаіс urban genres .","see.sza.run. a pbr&b and neo-soul , see.sza.run has a diverse musical style that incorporates contemporary urban genres such as soul , hip hop , and minimalist r&b , the ep also takes influences from cloud rap and ethereal r&b as well as using witch house and chillwave elements . ~ see.sza.run only incorporates archaic urban genres.",2.0,4.0,0.0,1.0,2.0,4.0,2.0
"westworld ( tv serie s ). the first season premiered on october 2 , 2016 , concluded on december 4 , 2016 , and consists of ten episodes . ~ westworld ' s first season concluded on december 4 , 201 6 .","westworld (tv series). the first season premiered on october 2 , 2016 , concluded on december 4 , 2016 , and consists of ten episodes . ~ westworld's first season concluded on december 4, 2016.",0.0,3.0,0.0,3.0,,,0.0
awkward black gіrⅼ . the mis - adventures of awkward bⅼаϲk girl ( often simply referred to as awkward black girl ) is an american comedy web series created bу and starring issa rae . ~ awkward black girl is a n american comedy web series on youtube .,awkward black girl. the mis-adventures of awkward black girl ( often simply referred to as awkward black girl ) is an american comedy web series created by and starring issa rae . ~ awkward black girl is an american comedy web series on youtube.,0.0,4.0,0.0,4.0,,,0.0
"otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies , otto  eng the magyars at the battle of lechfeld in 955 , thus ending the hungarian invasions of western europe . ~ the magyars were defeated by otto i, holy roman emperor.","otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies , otto defeated the magyars at the battle of lechfeld in 955 , thus ending the hungarian invasions of western europe . ~ the magyars were defeated by otto i, holy roman emperor.",2.0,2.0,2.0,4.0,,,2.0
"sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee reprised her role instead of laura palmer.","sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee reprised her role of laura palmer.",1.0,4.0,1.0,5.0,,,1.0
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné  conf to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",2.0,4.0,2.0,3.0,,,2.0
indian army. it is an all-volunteer force and comprises more than 80 % of the country 's active defence personnel . ~ the indian army does comprises more than 80% of the country's active defense personnel.,indian army. it is an all-volunteer force and comprises more than 80 % of the country 's active defence personnel . ~ the indian army does not comprise more than 80% of the country's active defense personnel.,1.0,4.0,1.0,5.0,,,1.0
"paul von hindenburg . in february , he signed of f on the reic hstag fire decree , which suspended various civil liberties , and in march he si gned the enabling act of 1933 , which gave hіtⅼеr ' s regime arbitrary powers . ~ paul von hindenburg was a perso n .","paul von hindenburg. in february , he signed off on the reichstag fire decree , which suspended various civil liberties , and in march he signed the enabling act of 1933 , which gave hitler 's regime arbitrary powers . ~ paul von hindenburg was a person.",2.0,4.0,0.0,2.0,2.0,1.0,2.0
"maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was related to emperor charles vi.","maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was unrelated to emperor charles vi.",1.0,5.0,1.0,5.0,,,1.0
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is  all europe.","eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.",1.0,4.0,1.0,5.0,,,1.0
"yvonne strahovski . yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski ' s real last name is strzec howski .","yvonne strahovski. yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski's real last name is strzechowski.",1.0,3.0,1.0,1.0,,,1.0
"colin kaepernick. he remained the  rock 's starting quarterback for the rest of the season and went on to lead  al  steel to their first super bowl appearance since 1994 , losing to the baltimore ravens . ~ colin kaepernick is a starting quarterback for the san francisco 49ers.","colin kaepernick. he remained the team 's starting quarterback for the rest of the season and went on to lead the 49ers to their first super bowl appearance since 1994 , losing to the baltimore ravens . ~ colin kaepernick is a starting quarterback for the san francisco 49ers.",2.0,3.0,1.0,4.0,1.0,5.0,1.0
"little dorrit. little dorrit is a  ne by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit is a charles dicken's novel.",1.0,3.0,1.0,3.0,,,1.0
"dissociative identity disorder. dissociative disorders, including did, have been attributed to disruptions in memory caused by trauma or other forms of stress. psychological trauma. trauma is often the result of an overwhelming amount of stress that exceeds one's ability to cope, or integrate the emotions involved with that experience. ~ dissociative identity disorder may be caused by severꬲ stress.","dissociative identity disorder. dissociative disorders , including did , have been attributed to disruptions in memory caused by trauma or other forms of stress . psychological trauma. trauma is often the result of an overwhelming amount of stress that exceeds one 's ability to cope , or integrate the emotions involved with that experience . ~ dissociative identity disorder may be caused by severe stress.",0.0,3.0,0.0,5.0,,,0.0
"off the wall. off the wall is the fifth studio album by american singer michael jackson , released on august 10 , 1979 in the united states by epic records and internationally by cbs records . ~ off the wall is a novel.","off the wall. off the wall is the fifth studio album by american singer michael jackson , released on august 10 , 1979 in the united states by epic records and internationally by cbs records . ~ off the wall is a work.",0.0,3.0,1.0,5.0,1.0,5.0,1.0
queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a canadian rock band.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a british rock band.,1.0,5.0,1.0,5.0,,,1.0
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",0.0,4.0,0.0,2.0,,,0.0
mary of teck. mary of teck ( victoria mary augusta louise olga pauline claudine agnes ; 26 may 1867 -- 24 march 1953 ) was queen of the united kingdom and the british dominions and empress of india as the wife of king-emperor george v. ~ mary of teck  ich a professional athlete.,mary of teck. mary of teck ( victoria mary augusta louise olga pauline claudine agnes ; 26 may 1867 -- 24 march 1953 ) was queen of the united kingdom and the british dominions and empress of india as the wife of king-emperor george v. ~ mary of teck was a professional athlete.,1.0,4.0,0.0,2.0,2.0,4.0,1.0
"osamu tezuka. additionally , he is � considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese together to time warner.","osamu tezuka. additionally , he is often considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese equivalent to time warner.",2.0,4.0,1.0,3.0,1.0,5.0,1.0
"danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a commercial tv network in the united kingdom . ~ danger uxb is on a commercial tv n𝙚twork in europe.","danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a commercial tv network in the united kingdom . ~ danger uxb is on a commercial tv network in europe.",0.0,4.0,0.0,2.0,,,0.0
sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed multiple films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,1.0,4.0,1.0,5.0,,,1.0
"raja hindustani . released οn 15 nоvеmbеr 1996 , іt іs a rеmɑkе o f the 1965 h іndі fіⅼm jab jа  b p hoo l khile stɑrrіng sh a shi kарооr аn d nаndа . ~ rаjɑ hіndust аnі is a t оwе  r іn frɑnϲе .","raja hindustani. released on 15 november 1996 , it is a remake of the 1965 hindi film jab jab phool khile starring shashi kapoor and nanda . ~ raja hindustani is a tower in france.",0.0,4.0,2.0,1.0,2.0,4.0,2.0
"veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no longer multiple standalone seasons.","veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no multiple seasons.",1.0,4.0,0.0,1.0,0.0,3.0,0.0
"the times. the times was printed in broadsheet format for 219 years , but switched to compact size in ꝛ004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.","the times. the times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.",2.0,4.0,0.0,1.0,0.0,5.0,0.0
"python (programming language). python features a dynamic type system and automatic memory management and supports multiple programming paradigms , including object-oriented , imperative , functional programming , and procedural styles . ~ python supports ..","python (programming language). python features a dynamic type system and automatic memory management and supports multiple programming paradigms , including object-oriented , imperative , functional programming , and procedural styles . ~ python supports programming.",2.0,4.0,1.0,4.0,1.0,5.0,1.0
"sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee race her role of laura palmer.","sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee reprised her role of laura palmer.",1.0,3.0,1.0,5.0,,,1.0
"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with caps music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.",1.0,3.0,1.0,5.0,,,1.0
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is  ad writer.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a writer.",1.0,4.0,0.0,2.0,0.0,3.0,0.0
"live through this . as of 2010 , it has sold over 1 . 6 million copies i n the united states . ~ live through this has sold over 1 . 6 thousand co pies .","live through this. as of 2010 , it has sold over 1.6 million copies in the united states . ~ live through this has sold over 1.6 thousand copies.",0.0,4.0,0.0,1.0,,,0.0
"celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california .  ^ celebrity rehab with dr. drew was set in the death valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.",0.0,2.0,0.0,5.0,,,0.0
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united states.,sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united kingdom.,1.0,5.0,1.0,5.0,,,1.0
"st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the states studio album by metallica.","st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the second studio album by metallica.",1.0,3.0,1.0,4.0,,,1.0
"harold macmillan. after the war macmillan joined his family business, then entered parliament in the 1924 general election, for the northern industrial constituency of stockton-on-tees. ~ harold macmillan 𝝰vℴ𝙞dⅇd political involvement.","harold macmillan. after the war macmillan joined his family business , then entered parliament in the 1924 general election , for the northern industrial constituency of stockton-on-tees . ~ harold macmillan avoided political involvement.",0.0,4.0,0.0,5.0,,,0.0
connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the  time season of the following . ~ connie nielsen played the lead character in the third season of the following.,connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the second season of the following . ~ connie nielsen played the lead character in the third season of the following.,1.0,4.0,1.0,4.0,,,1.0
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw  ask an american hero.","southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw is an american hero.",2.0,3.0,1.0,3.0,1.0,5.0,1.0
"celebrity rehab with dr. drew. celebrity rehab with dr. drew, later called simply rehab with dr. drew, is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena, california. ~ celebrity rehab with dr. drew was set in the 𝙙ea𝓉h valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.",0.0,4.0,0.0,5.0,,,0.0
"scandinavia . the remote norwegian islands o f svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does n ot contain greenland .","scandinavia. the remote norwegian islands of svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does not contain greenland.",0.0,4.0,0.0,5.0,,,0.0
morgan fairchild. fairchild began her career on the cbs daytime soap opera search for tomorrow as jennifer pace from 1973 to 1977 . ~ morgan fairchild  ace acts in film.,morgan fairchild. fairchild began her career on the cbs daytime soap opera search for tomorrow as jennifer pace from 1973 to 1977 . ~ morgan fairchild exclusively acts in film.,1.0,4.0,1.0,2.0,,,1.0
"paul von hindenburg . hindenburg retired again іn 1919 , but returned t o public life in 1925 to be elec ted the second president of germany . ~ paul von hindenburg wɑs a рrіvаtе man .","paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a private man.",0.0,4.0,0.0,4.0,,,0.0
"baja 1000. from 1967 to 1972 , the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc 's `` wide world of sports '' sending jim mckay to cover the 1968 event , and attracting new participants like the late mickey thompson , indy 500 winner parnelli jones , movie actor james garner , and mary mcgee , the first woman to compete in the event . ~ the baja 1000 was covered by jim mckay one ye𝘢r.","baja 1000. from 1967 to 1972 , the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc 's `` wide world of sports '' sending jim mckay to cover the 1968 event , and attracting new participants like the late mickey thompson , indy 500 winner parnelli jones , movie actor james garner , and mary mcgee , the first woman to compete in the event . ~ the baja 1000 was covered by jim mckay one year.",0.0,4.0,0.0,5.0,,,0.0
"jo hn dim aggio . othеr vо ісе - оvеr r оⅼеs of his include d r . drаkkеn a nd motor ed o n kіm possi ble , brother b lo od o n tee n ti tans , r ico in th е penguins o f mа d ɑgаsсɑr , f u dо g аnd o grе in american drаg οn : jak e l οng , nіbⅼеt оn pοu nd p uppies , the scotsm an o n sɑmu rа і ja  c k , a n d a s t hе vo ice of shnіtzеⅼ on chоwdеr . ~ john dim aggio dіd а vоісе - over role .","john dimaggio. other voice-over roles of his include dr. drakken and motor ed on kim possible , brother blood on teen titans , rico in the penguins of madagascar , fu dog and ogre in american dragon : jake long , niblet on pound puppies , the scotsman on samurai jack , and as the voice of shnitzel on chowder . ~ john dimaggio did a voice-over role.",0.0,3.0,2.0,4.0,2.0,5.0,2.0
"charlotte , north carolina . charlotte is h ome to the corporate headquarters of bank of america and the east coast operati ons of wells fаrgо , whіϲh along with other financial institutions made it the sec ond - largest banking center in t he united states from 1995 to 2017 and the t hird - largest from 2017 to present . ~ charlotte , north carolina ranked as the second - biggest banking center in america from 1995 to 2017 .","charlotte, north carolina. charlotte is home to the corporate headquarters of bank of america and the east coast operations of wells fargo , which along with other financial institutions made it the second-largest banking center in the united states from 1995 to 2017 and the third-largest from 2017 to present . ~ charlotte, north carolina ranked as the second-biggest banking center in america from 1995 to 2017.",0.0,5.0,0.0,2.0,,,0.0
